,,Setup,,Auto,,,,,,,,,,,Teleop,,,,,,,,,
Alliance ,Team #,Hatches Hab,Balls Hab,"Cross line (0, 1, 2)",Hatches (#),,,,Balls (#),,,,"Prepares for teleop (0, 1)",Hatches (#),,,,Balls (#),,,,"Climb Level (0, 1, 2, 3)","Radio Problems (0, 1)","Match Winner (Blue = 0, Red = 1, Tie = 2)"
,,,,,Center,Lv. 1,Lv. 2,Lv. 3,Center,Lv. 1,Lv. 2,Lv. 3,,Center,Lv. 1,Lv. 2,Lv. 3,Center,Lv. 1,Lv. 2,Lv. 3,,,
Blue,4984,6,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,
,4738,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,5474,,,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,
Del Mar Q40,,,,,,,,,,,,,,,,,,,,,,,,
Red,114,6,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,2,1,0,0,1,0,1
,359,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,
,1159,,,1,0,0,0,0,1,0,0,0,1,0,1,1,0,2,1,0,0,1,0,
Blue,192,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,
,5199,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
,399,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
PNW Wilsonville Q20,,,,,,,,,,,,,,,,,,,,,,,,
Red,7448,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
,6443,,,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,
,3636,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,1,0,
Blue,7034,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,
,1540,,,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,3,0,
,957,,,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,2,0,
Del Mar Q41,,,,,,,,,,,,,,,,,,,,,,,,
Red,2984,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
,6560,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,
,3255,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,
Blue,5025,6,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,
,3647,,,2,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,
,4738,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
Del Mar Q44,,,,,,,,,,,,,,,,,,,,,,,,
Red,3341,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,1
,5137,,,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,
,359,,,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,3,0,
Blue,3255,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,
,1159,,,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,
,399,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Del Mar Q46,,,,,,,,,,,,,,,,,,,,,,,,
Red,6402,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0
,2576,,,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
,5199,,,1,0,0,0,0,0,0,0,0,1,0,2,0,0,3,2,0,0,1,0,
Blue,192,6,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,
,2102,,,1,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,3,0,
,6918,,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,
Del Mar Q49,,,,,,,,,,,,,,,,,,,,,,,,
Red,2945,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,2576,,,2,1,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,1,0,
,585,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Blue,5474,6,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,
,3255,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,3647,,,2,1,0,0,0,1,0,0,0,0,1,2,0,0,7,2,0,0,1,0,
Del Mar Q50,,,,,,,,,,,,,,,,,,,,,,,,
Red,5059,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1
,114,,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,
,4738,,,2,0,1,0,0,0,0,0,0,1,0,1,1,0,1,2,0,0,1,0,
Blue,3021,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
,6402,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,
,3328,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,
Del Mar Q51,,,,,,,,,,,,,,,,,,,,,,,,
Red,1661,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,6560,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,
,192,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,
Blue,2543,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,
,399,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,3256,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,
Del Mar Q63,,,,,,,,,,,,,,,,,,,,,,,,
Red,3341,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0
,3647,,,2,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,0,0,1,0,
,3328,,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,
Blue,7137,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,
,3256,,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,
,2102,,,1,1,0,0,0,1,0,0,0,1,1,1,0,0,3,0,0,0,3,0,
Del Mar Q53,,,,,,,,,,,,,,,,,,,,,,,,
Red,2102,6,0,1,1,0,0,0,1,0,0,0,1,0,2,0,0,3,0,0,0,3,0,0
,399,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,6402,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,
Blue,4415,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,2,0,
,5025,,,1,1,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,1,0,
,3255,,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,
Del Mar Q58,,,,,,,,,,,,,,,,,,,,,,,,
Red,585,6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
,2102,,,1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,3,0,
,1159,,,1,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,1,0,
Blue,4738,6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,
,1661,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
,6918,,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,
Del Mar Q65,,,,,,,,,,,,,,,,,,,,,,,,
Red,114,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0
,3255,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,3,0,
,3328,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
Blue,1159,6,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,1,0,
,7426,,,1,0,0,0,0,1,0,0,0,1,0,2,2,0,0,1,2,0,1,0,
,2543,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,
Del Mar Q59,,,,,,,,,,,,,,,,,,,,,,,,
Red,6948,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,2,0,0
,5059,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,
,4984,,,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,1,0,
Blue,2576,6,0,2,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,2,0,1,0,
,4415,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,3,0,
,399,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
Del Mar Q60,,,,,,,,,,,,,,,,,,,,,,,,
Red,4414,6,0,2,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,3,0,1
,4738,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,
,7426,,,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,
Blue,5199,6,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,1,0,
,5474,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
,6560,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,3,0,
Del Mar Q62,,,,,,,,,,,,,,,,,,,,,,,,
Red,3255,6,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,2,2,0,0,1,0,1
,1661,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,
,2576,,,0,0,0,0,0,0,0,0,0,1,0,1,2,0,4,0,0,0,2,0,
Blue,6402,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,
,359,,,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,2,0,
,2984,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Del Mar Q68,,,,,,,,,,,,,,,,,,,,,,,,
Red,4738,0,0,2,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,0,1
,6948,,,1,0,0,0,0,0,0,0,0,1,0,2,0,0,4,1,0,0,2,0,
,192,,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,1,0,
Blue,4984,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,
,6402,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
,1661,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Del Mar Q70,,,,,,,,,,,,,,,,,,,,,,,,
Red,399,6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0
,114,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,
,3647,,,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,
Blue,5526,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,
,4414,,,2,1,0,0,0,1,0,0,0,1,1,2,1,0,1,2,0,0,3,0,
,5474,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
Colorado Q2,,,,,,,,,,,,,,,,,,,,,,,,
Red,7737,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,1619,,,1,0,1,0,0,0,0,0,0,1,0,1,2,2,0,0,2,2,3,0,
,2341,,,2,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,
Blue,4593,6,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2,2,0,1,0,
,3807,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,
,4388,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colorado Q5,,,,,,,,,,,,,,,,,,,,,,,,
Red,1339,6,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0
,4418,,,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,
,4944,,,1,1,0,0,0,1,0,0,0,1,0,1,0,0,4,2,0,0,1,0,
Blue,1157,6,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,
,2996,,,2,0,0,0,0,0,0,0,0,1,1,2,0,0,5,0,0,0,3,0,
,4293,,,2,0,0,0,0,0,0,0,0,1,0,2,2,0,1,2,1,0,1,0,
Colorado Q9,,,,,,,,,,,,,,,,,,,,,,,,
Red,3158,6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,1583,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
,1726,,,1,1,0,0,0,1,0,0,0,1,0,2,1,0,0,2,0,0,3,0,
Blue,1332,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,6652,,,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,
,1339,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,
Colorado Q10,,,,,,,,,,,,,,,,,,,,,,,,
Red,7537,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
,4386,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
,3172,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
Blue,4388,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,
,2972,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,
,1619,,,1,0,1,0,0,0,0,0,0,1,0,1,2,2,2,2,2,2,3,0,
Colorado Q13,,,,,,,,,,,,,,,,,,,,,,,,
Red,3729,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,2
,1332,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
,4068,,,1,1,0,0,0,1,0,0,0,1,0,1,1,0,3,0,0,0,0,0,
Blue,3288,3,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
,1303,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,3648,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,
Colorado Q15,,,,,,,,,,,,,,,,,,,,,,,,
Red,1583,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
,1977,,,2,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,0,
,3200,,,2,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,
Blue,7891,2,4,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,
,2395,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,
,2083,,,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,
Colorado Q20,,,,,,,,,,,,,,,,,,,,,,,,
Red,4944,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1
,3374,,,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,3,0,
,7891,,,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,
Blue,1332,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,
,159,,,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
,2945,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,
Colorado Q25,,,,,,,,,,,,,,,,,,,,,,,,
Red,1583,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
,2996,,,2,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,
,3288,,,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,
Blue,4388,6,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,
,7737,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,4550,,,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,
Colorado Q29,,,,,,,,,,,,,,,,,,,,,,,,
Red,2945,6,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
,5763,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,
,2996,,,2,0,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,1,0,
Blue,1245,6,0,1,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,3,0,
,7537,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,1332,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,0,
Colorado Q36,,,,,,,,,,,,,,,,,,,,,,,,
Red,2341,5,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,0,1,0,1
,1584,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,0,3,0,
,2972,,,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,
Blue,1157,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,1583,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,5578,,,2,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,1,0,
Colorado Q38,,,,,,,,,,,,,,,,,,,,,,,,
Red,4293,6,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,1,0,1
,5763,,,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,
,2261,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,
Blue,3374,6,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,6,0,0,0,0,0,
,4388,,,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
,4068,,,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
Colorado Q45,,,,,,,,,,,,,,,,,,,,,,,,
Red,3200,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2996,,,1,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,1,0,
,3374,,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,
Blue,2972,6,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,
,5578,,,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,
,4499,,,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,1,0,
Colorado Q49,,,,,,,,,,,,,,,,,,,,,,,,
Red,2945,6,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,1
,4388,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
,2259,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Blue,1977,0,6,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,
,3729,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
,1303,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colorado Q50,,,,,,,,,,,,,,,,,,,,,,,,
Red,4293,3,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1,1,0,1
,7737,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,2240,,,2,1,0,0,0,1,0,0,0,1,0,1,2,2,0,0,0,0,3,0,
Blue,7479,2,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,
,3200,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,
,7891,,,2,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,
Colorado Q51,,,,,,,,,,,,,,,,,,,,,,,,
Red,4944,6,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,5,1,0,0,0,0,1
,2046,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,
,662,,,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,
Blue,2083,4,2,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,
,3172,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,
,1583,,,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,
Colorado Q61,,,,,,,,,,,,,,,,,,,,,,,,
Red,1410,6,0,1,1,0,0,0,1,0,0,0,1,1,2,1,1,0,2,0,0,1,0,1
,1332,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,
,3288,,,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,
Blue,1977,6,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,
,662,,,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,
,1157,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Colorado Q67,,,,,,,,,,,,,,,,,,,,,,,,
Red,1977,6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
,2261,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
,1332,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,
Blue,1799,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,4550,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,
,2240,,,2,1,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,
Colorado Q68,,,,,,,,,,,,,,,,,,,,,,,,
Red,2972,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,4944,,,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,0,0,0,
,2996,,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,0,
Blue,1303,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,5493,,,1,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,
,7243,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colorado Q72,,,,,,,,,,,,,,,,,,,,,,,,
Red,2945,6,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
,4293,,,2,1,0,0,0,1,0,0,1,0,0,2,1,0,1,2,0,0,0,0,
,2972,,,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Blue,4550,6,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,4,1,0,0,0,0,
,5763,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,1410,,,1,1,0,0,0,1,0,0,1,0,1,2,2,0,3,2,1,0,0,0,
Colorado Q74,,,,,,,,,,,,,,,,,,,,,,,,
Red,3374,4,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0
,3288,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
,3729,,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,
Blue,7891,4,2,2,1,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,1,0,
,1583,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,
,3807,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,
Colorado Q75,,,,,,,,,,,,,,,,,,,,,,,,
Red,1245,4,2,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
,4499,,,2,1,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,2,0,
,1799,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
Blue,662,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,
,4593,,,1,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,2,0,0,0,
,4068,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Colorado Q79,,,,,,,,,,,,,,,,,,,,,,,,
Red,5578,5,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,6,2,0,0,0,0,0
,4388,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,
,2341,,,2,1,0,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,
Blue,1332,6,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,0,1,0,
,1726,,,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,3,0,
,4944,,,1,1,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1,0,
