,,Setup,,Auto,,,,,,,,,,,Teleop,,,,,,,,,
Alliance ,Team #,Hatches Hab,Balls Hab,"Cross line (0, 1, 2)",Hatches (#),,,,Balls (#),,,,"Prepares for teleop (0, 1)",Hatches (#),,,,Balls (#),,,,"Climb Level (0, 1, 2, 3)","Radio Problems (0, 1)","Match Winner (Blue = 0, Red = 1, Tie = 2)"
,,,,,Center,Lv. 1,Lv. 2,Lv. 3,Center,Lv. 1,Lv. 2,Lv. 3,,Center,Lv. 1,Lv. 2,Lv. 3,Center,Lv. 1,Lv. 2,Lv. 3,,,
,7230,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Palmetto Q1,,,,,,,,,,,,,,,,,,,,,,,,
Red,3651,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,7489,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
,1398,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Blue,900,6,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,
,6222,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
,4451,,,1,0,0,0,0,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0,
Palmetto Q8,,,,,,,,,,,,,,,,,,,,,,,,
Red,4005,3,3,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
,4243,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
,2187,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,
Blue,3490,3,3,1,0,1,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,1,0,
,7072,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,
,5317,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Palmetto Q9,,,,,,,,,,,,,,,,,,,,,,,,
Red,4075,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
,3140,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
,7409,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Blue,5022,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,
,2393,,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
,5472,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,
Orange County Q4,,,,,,,,,,,,,,,,,,,,,,,,
Red,5851,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1
,3859,,,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,
,4079,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,
Blue,841,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
,4161,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
,3295,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Palmetto Q10,,,,,,,,,,,,,,,,,,,,,,,,
Red,2815,2,4,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0
,4847,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
,1539,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Blue,21,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,1369,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,
,4267,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Palmetto Q11,,,,,,,,,,,,,,,,,,,,,,,,
Red,1287,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1
,108,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,
,1758,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
Blue,6222,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,
,379,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,
,4074,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Gainesville Q1,,,,,,,,,,,,,,,,,,,,,,,,
Red,4795,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,7676,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
,6887,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Blue,1102,5,1,1,0,1,0,0,0,0,0,0,1,0,2,2,1,0,2,1,0,1,0,
,5651,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
,3494,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
Palmetto Q12,,,,,,,,,,,,,,,,,,,,,,,,
Red,1051,4,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,3,0,1
,3824,,,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0,
,5327,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Blue,6366,6,0,1,1,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,2,0,
,6961,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
,5410,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
Palmetto Q13,,,,,,,,,,,,,,,,,,,,,,,,
Red,4005,6,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,0
,7152,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,
,283,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Blue,4020,4,2,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,2,1,0,3,0,
,4965,,,2,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,
,342,,,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,
Palmetto Q14,,,,,,,,,,,,,,,,,,,,,,,,
Red,1902,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1
,3976,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,3489,,,1,1,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,1,0,0,
Blue,3651,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,5130,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
,900,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Palmetto Q15,,,,,,,,,,,,,,,,,,,,,,,,
Red,2187,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
,1293,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,
,2393,,,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,2,0,3,0,
Blue,7085,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,
,5949,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,
,4823,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
Del Mar Q2,,,,,,,,,,,,,,,,,,,,,,,,
Red,3021,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,5474,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,1661,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Blue,2102,6,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,3,0,
,5059,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,
,5025,,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,
Del Mar Q3,,,,,,,,,,,,,,,,,,,,,,,,
Red,5199,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,585,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
,3256,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
Blue,6948,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,
,399,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,2945,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,
Del Mar Q4,,,,,,,,,,,,,,,,,,,,,,,,
Red,4415,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0
,7137,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,3341,,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,
Blue,359,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,
,3255,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,
,4738,,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Del Mar Q7,,,,,,,,,,,,,,,,,,,,,,,,
Red,4984,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
,4414,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
,114,,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,
Blue,585,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,3341,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,
,3255,,,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,
Del Mar Q9,,,,,,,,,,,,,,,,,,,,,,,,
Red,8,5,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
,4738,,,2,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,
,5137,,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,
Blue,3256,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,
